Time Step,T1,T2,T3,T4,T5,T6,T7,T8,T9,Tf_ghe1,Tf_ghe2,Tf_ghe3,T_ghe1_ext,T_ghe2_ext,T_ghe3_ext,q_ghe1,q_ghe2,q_ghe3
Units,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,W/m,W/m
75,5.56474389678662,5.015996890561668,4.674253885483285,4.277781402756286,4.26772889474103,3.2236161646960486,3.2145289354599917,4.978577475652561,5.361863793600027,4.978577475652561,5.6972393218040605,5.796606871857013,6.742626015845132,6.415901167955559,6.231349950113998,3.8354339402127615,1.562530720364714,0.9452281610331379
76,5.53546931255347,4.968376812668502,4.650547893537959,4.239439607793871,4.2300327419065,3.2458009704754343,3.2373529256304496,4.933196050311657,5.32393890270809,4.933196050311656,5.66583889855497,5.777218352376762,6.629039174992863,6.398481746798284,6.230497802045434,3.9666365525102014,1.7136773204322313,1.0602365321352822
77,5.5083156386675105,5.078613592914964,4.787448105170213,4.290370039906794,4.281864722862461,3.3723178171849564,3.3540036436363057,4.904037267952205,5.293521671402224,4.904037267952206,5.634320524420988,5.753794458399268,6.454070892268105,6.36460378088977,6.214067245396311,3.9601104815160135,1.8657675117815875,1.1759300311617669
78,4.891030821757642,3.360812997361583,3.2633239828432115,3.0913986988704263,3.0875336108103077,2.7853348091942713,2.7517971946004502,4.096246666314476,4.5767753547618275,4.096246666314475,4.997237957153262,5.250179926895714,5.440696138028502,5.898229247992047,5.9235844990296,10.139343526596766,6.794944997553223,5.0785696546420445
79,4.997464331680331,5.0222848496627694,4.918853186751268,3.9195459315928556,3.9158405541938266,3.609719448595851,3.490190203491953,4.342974591446436,4.721276334017825,4.342974591446435,5.05229035876779,5.313107757580338,5.195758979400917,5.761606126089146,5.90493918114285,6.126273305556132,5.095616561384359,4.251626909185203
80,5.2790655413278875,6.046031068594063,5.833989920615851,5.099679644040958,5.090211258832016,4.719928440000905,4.566639867044413,4.875879660786938,5.1051052318658074,4.875879660786938,5.305677606559818,5.477877323570266,5.185119454529463,5.735475552332697,5.850649415274724,1.8548132847716605,2.577918352418949,2.235878570211537
81,5.487402196986956,6.822621208176448,6.488516189954192,5.967161718569197,5.946395780195644,5.449786617054263,5.259643079509526,5.251875289997579,5.388216861734364,5.251875289997578,5.507515737004052,5.600756865847061,5.244107500485633,5.763156184010527,5.813296869959759,-0.03623872660776381,1.1926281285954279,0.9915535288911874
82,5.629882842069107,7.288429569453621,6.891184108725596,6.456914061289064,6.433352218194937,5.926363732369976,5.752059012533108,5.5179180712154565,5.583234527740966,5.5179180712154565,5.640386427200786,5.6831952013012685,5.283777129897805,5.762854783186115,5.7831558748615715,-1.047496453934104,0.5478972105084866,0.4472026570749447
83,5.756793290694621,7.677368727194312,7.198069015576649,6.853687662566511,6.829031331578006,6.334116873297233,6.172682475981831,5.748074987666699,5.751027834041457,5.7480749876666986,5.75361157461937,5.763382384012525,5.323467499351567,5.759148161572042,5.775736933983594,-1.86302682089584,0.024292576727693554,0.05420737643495652
84,5.889552594844057,8.11912241353356,7.585312996069693,7.3525251628080746,7.321558720102509,6.823225013567291,6.685361244191007,5.995879240502829,5.92779621101238,5.995879240502829,5.868223560208236,5.8458456049374,5.30639723681465,5.740567879913642,5.763894998862423,-2.862418992958164,-0.5299689359252627,-0.3402220363383662
